온 동물의료센터,경기,312867582,경기도 용인시 기흥구 마북동 524-1,"경기도 용인시 기흥구 용구대로2394번길 2, 2층 201,202호 (마북동)","매일 10:00~24:00 일반진료 (회진시간: 오전 9시 - 10시, 점심시간:  오후 1시 - 2시) | 매일 00:00~09:00 응급진료"
닥터페티앙동물병원,경기,313357578,경기도 용인시 처인구 남동 71-48번지,경기도 용인시 처인구 명지로 185 (남동),평일 10:00~19:00 점심시간 13:00~14:00 | 토요일 10:00~19:00 점심시간 13:00~14:00 | 일요일 휴무 | 공휴일 휴무
이루다 동물메디컬센터,경기,313577559,경기도 화성시 남양읍 남양리 1537-28 110-1호,"경기도 화성시 남양읍 남양로 839, 헤븐리2프라자 1층 110-112호",
톰과 제니 동물메디컬센터,경기,313654542,경기도 안산시 상록구 사동 1639-7 그랑시티자이,"경기도 안산시 상록구 해양4로 31, P동 208.209.210.211.호 (사동, 그랑시티자이)","매일 09:30~19:30 12:00~13:00(점심시간), 13:00~14:00(회진시간) | 월요일 휴무 매주 월요일(휴무)"
뉴엘동물의료센터,경기,313737588,경기도 화성시 청계동 514-4,"경기도 화성시 동탄대로시범길 261, 리더스프라자 1층 102,103,104호 (청계동)",평일 10:00~20:00 접수마감 19:00 | 토요일 10:00~18:00 접수마감 17:00 | 공휴일 10:00~18:00 접수마감 17:00 | 일요일 휴무 | 매일 13:00~13:59 점심시간
스마일 동물병원,경기,313755975,경기도 오산시 수청동 620-5번지,경기도 오산시 내삼미로 83 (수청동),평일 10:00~21:00 | 토요일 10:00~19:00 | 공휴일 10:00~19:00 | 일요일 휴무 | 공휴일 13:00~14:00 점심시간 | 주말 13:00~14:00 점심시간 | 평일 13:00~14:00 점심시간
우리집동물병원,경기,314210008,경기도 의왕시 내손동 406-3번지 2층,"경기도 의왕시 포일로 11, 내손동 2층 (내손동)","평일 10:00~20:00 토요일 10~7시, 일요일휴무"
한별피그크리닉,경기,315569008,경기도 포천시 관인면 탄동리 533-8번지,경기도 포천시 관인면 창동로 1841,
나래동물의료센터,경기,316137509,경기도 화성시 능동 1093-12,"경기도 화성시 여울로4길 46, 2층 (능동)",평일 10:00~20:00 점심시간(12:00~13:00) | 토요일 10:00~19:00 점심시간(12:00~13:00) | 공휴일 10:00~19:00 점심시간(12:00~13:00) | 일요일 휴무
비전동물병원,경기,316511175,경기도 평택시 비전동 1027-2,"경기도 평택시 비전3로 27, 104, 105호 (비전동)",평일 09:30~21:00 | 토요일 09:30~19:00 | 공휴일 11:00~17:00 | 일요일 11:00~17:00
슬기로운동물병원,경기,316555946,경기도 안성시 공도읍 양기리 298-8,"경기도 안성시 공도읍 서동대로 4486, 1층 1호",
바우동물병원,경기,316570016,경기도 안성시 공도읍 승두리 70-2번지,경기도 안성시 공도읍 공도로 50,평일 09:30~19:00 | 공휴일 11:00~17:00 전화 문의 | 토요일 09:30~03:00 전화 문의 | 일요일 휴무
메르시 동물병원,경기,317070701,경기도 성남시 분당구 판교동 590 티에스로드2 201호,"경기도 성남시 분당구 운중로 255, 티에스로드2 201호 (판교동)","매일 10:00~20:00 | 화요일 10:00~13:00 미용 용품 호텔관리 정상영업 | 수요일 휴무 미용, 용품, 호텔관리 정상영업"
반려동물암센터,경기,317095500,경기도 성남시 분당구 서현동 250-6번지 은성빌딩 301호,"경기도 성남시 분당구 황새울로342번길 15, 은성빌딩 3층 301호 (서현동)",평일 10:00~18:00 점심시간 13:00~14:00 | 토요일 10:00~18:00 점심시간 13:00~14:00 | 일요일 휴무 | 공휴일 휴무 | 목요일 휴무
모아동물병원,경기,317332010,경기도 성남시 수정구 신흥동 6953 산성역포레스티아아파트 서문상가 101호,"경기도 성남시 수정구 수정로 291, 산성역포레스티아아파트 서문상가동 1층 101호 (신흥동)","매일 09:30~20:00 진료마감 19:30 | 목요일 휴무 휴무일 : 구정당일, 추석당일"
다올동물의료센터 광교점,경기,318937982,경기도 용인시 수지구 상현동 1117-8,"경기도 용인시 수지구 광교중앙로 297, 102, 201~203호 (상현동)",매일 00:00~24:00
하이반려동물행동클리닉,경기,319661210,경기도 고양시 덕양구 원흥동 635,"경기도 고양시 덕양구 권율대로 690, 삼송2차원흥역동원로얄듀크비스타 202동 2층 1호 (원흥동)",일요일 10:00~19:00 예약진료로 진행됩니다. | 금요일 10:00~19:00 예약진료로 진행됩니다. | 수요일 10:00~19:00 예약진료로 진행됩니다.
해밀동물병원,경기,319662777,경기도 고양시 일산동구 식사동 513-3번지,경기도 고양시 일산동구 고양대로 1139 (식사동),"일요일 휴무 신정, 구정연휴, 어린이날, 추석연휴, 성탈절 휴무. 그외 휴무일 있을 수 있습니다. | 평일 09:30~19:30 13:00~14:00 점심시간. 종료 30분전 접수마감합니다. | 공휴일 10:00~17:00 13:00~14:00 점심시간. 종료 30분전 접수마감합니다. | 토요일 10:00~17:00 13:00~14:00 점심시간. 종료 30분전 접수마감합니다."
아이편한 동물의료센터,경기,319708875,경기도 고양시 덕양구 행신동 762,"경기도 고양시 덕양구 충장로 14, 글로리아프라자  2층 201호 (행신동)",평일 10:00~20:00 | 토요일 10:00~20:00 | 일요일 10:00~18:00 예약진료 및 입원환자관리 | 공휴일 10:00~18:00
아띠동물병원,경기,319856125,경기도 김포시 장기동 1609번지 신한프라자 106호,"경기도 김포시 김포한강4로 113, 1층 106호 (장기동, 신한프라자)",매일 10:00~19:30 일요일 휴무
수호 동물병원,경기,319867119,경기도 김포시 북변동 828번지 명승프라자,"경기도 김포시 사우중로 89, 1층 (북변동, 명승프라자)",
위브동물의료센터,경기,319871191,경기도 김포시 고촌읍 신곡리 0,"경기도 김포시 고촌읍 태리로 293, 베스트프라자 202호",
24시 웰니스 동물 의료센터,경기,322017575,경기도 부천시 중동 1128 그린프라자,"경기도 부천시 부흥로303번길 62, 그린프라자 (중동)",평일 09:00~21:00 일반진료 | 매일 22:00~09:00 야간응급진료 | 주말 09:00~20:00 일반진료
